"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"BTCUSDT","Isolated","Short","115130.40000000","115201.90000000","0.01400000","0.01400000","-1.00100000","2025-08-04 21:40:13.038","2025-08-04 21:44:48.072","Closed"
"BTCUSDT","Isolated","Short","114988.70000000","115066.60000000","0.01400000","0.01400000","-1.09060000","2025-08-04 21:20:21.480","2025-08-04 21:36:38.441","Closed"
"BTCUSDT","Isolated","Short","114969.00000000","115114.20000000","0.01400000","0.01400000","-2.03280000","2025-08-04 20:35:03.635","2025-08-04 21:18:18.445","Closed"
"BTCUSDT","Isolated","Short","115215.30000000","114894.80000000","0.01400000","0.01400000","4.48700000","2025-08-04 18:25:16.488","2025-08-04 20:33:00.400","Closed"
"BTCUSDT","Isolated","Short","115114.80000000","115196.00000000","0.01400000","0.01400000","-1.13679999","2025-08-04 18:10:29.517","2025-08-04 18:21:41.857","Closed"
"BTCUSDT","Isolated","Short","115038.50000000","115230.70000000","0.01500000","0.01500000","-2.88300000","2025-08-04 16:45:27.776","2025-08-04 16:46:59.405","Closed"
"BTCUSDT","Isolated","Short","114926.90000000","115031.90000000","0.01500000","0.01500000","-1.57500000","2025-08-04 16:25:06.189","2025-08-04 16:41:53.187","Closed"
"BTCUSDT","Isolated","Short","114972.30000000","115060.00000000","0.01500000","0.01500000","-1.31550000","2025-08-04 16:15:24.877","2025-08-04 16:16:56.732","Closed"
"BTCUSDT","Isolated","Short","114995.80000000","114995.90000000","0.01500000","0.01500000","-0.00149999","2025-08-04 16:06:50.921","2025-08-04 16:06:58.914","Closed"
"BTCUSDT","Isolated","Short","114810.90000000","114995.80000000","0.01600000","0.01600000","-2.95840000","2025-08-04 16:00:35.406","2025-08-04 16:06:34.363","Closed"
"BTCUSDT","Isolated","Short","114939.80000000","114821.40000000","0.01600000","0.01600000","1.89440000","2025-08-04 15:10:09.067","2025-08-04 15:54:02.122","Closed"
"BTCUSDT","Isolated","Short","115100.10000000","114854.40000000","0.01500000","0.01500000","3.68550000","2025-08-04 14:50:18.289","2025-08-04 15:08:06.028","Closed"
"BTCUSDT","Isolated","Short","115270.10000000","115051.30000000","0.01500000","0.01500000","3.28200000","2025-08-04 14:05:20.852","2025-08-04 14:49:16.164","Closed"
"BTCUSDT","Isolated","Short","114366.60000000","114896.20000000","0.01600000","0.01600000","-8.47360000","2025-08-04 06:05:22.777","2025-08-04 14:01:15.241","Closed"
"BTCUSDT","Isolated","Short","114665.90000000","114392.30000000","0.01600000","0.01600000","4.37760000","2025-08-04 02:25:04.737","2025-08-04 06:01:48.177","Closed"
"BTCUSDT","Isolated","Short","114793.90000000","114591.00000000","0.01600000","0.01600000","3.24640000","2025-08-04 00:50:26.301","2025-08-04 02:24:02.656","Closed"
"BTCUSDT","Isolated","Short","114191.50000000","114807.20000000","0.01700000","0.01700000","-10.46690000","2025-08-03 22:45:15.707","2025-08-04 00:47:52.793","Closed"
"BTCUSDT","Isolated","Short","114451.10000000","114224.20000000","0.01700000","0.01700000","3.85730000","2025-08-03 21:15:07.367","2025-08-03 22:44:44.105","Closed"
"BTCUSDT","Isolated","Short","114294.20000000","114300.00000000","0.08800000","0.08800000","-0.51039998","2025-08-03 19:10:02.022","2025-08-03 19:10:22.645","Closed"
"BTCUSDT","Isolated","Short","114307.70000000","114294.30000000","0.09200000","0.09200000","1.23279997","2025-08-03 19:05:02.564","2025-08-03 19:09:58.755","Closed"
"BTCUSDT","Isolated","Short","114332.20000000","114397.70000000","0.10000000","0.10000000","-6.54999999","2025-08-03 18:50:27.279","2025-08-03 19:00:33.724","Closed"
"BTCUSDT","Isolated","Short","114168.70000000","114278.28727300","0.11000000","0.11000000","-12.05460000","2025-08-03 18:40:15.152","2025-08-03 18:42:48.061","Closed"
"BTCUSDT","Isolated","Short","114235.30000000","114303.60000000","0.11900000","0.11900000","-8.12770000","2025-08-03 18:30:03.594","2025-08-03 18:31:04.727","Closed"
"BTCUSDT","Isolated","Short","114060.70000000","114120.00000000","0.12800000","0.12800000","-7.59040000","2025-08-03 18:05:06.086","2025-08-03 18:25:27.673","Closed"
"BTCUSDT","Isolated","Short","118663.16000000","113827.40000000","0.01000000","0.01000000","48.35760000","2025-07-31 16:40:23.886","2025-08-03 16:25:14.447","Closed"
"BTCUSDT","Isolated","Short","118598.30000000","118823.80000000","0.01100000","0.01100000","-2.48050000","2025-07-31 13:55:02.246","2025-07-31 16:35:56.156","Closed"
"BTCUSDT","Isolated","Short","118319.50000000","118551.50000000","0.01100000","0.01100000","-2.55200000","2025-07-31 13:45:18.006","2025-07-31 13:53:28.450","Closed"
"BTCUSDT","Isolated","Short","118865.80000000","118383.60000000","0.01100000","0.01100000","5.30420000","2025-07-31 07:20:12.969","2025-07-31 13:40:41.129","Closed"
"BTCUSDT","Isolated","Short","118654.80000000","118890.70000000","0.01100000","0.01100000","-2.59490000","2025-07-31 07:03:51.643","2025-07-31 07:16:37.553","Closed"
"BTCUSDT","Isolated","Short","118403.00000000","118597.60000000","0.01100000","0.01100000","-2.14060000","2025-07-31 02:56:03.531","2025-07-31 06:47:38.052","Closed"
"BTCUSDT","Isolated","Short","118429.90000000","118421.70000000","0.01100000","0.01100000","0.09019999","2025-07-31 02:45:34.074","2025-07-31 02:55:44.169","Closed"
"BTCUSDT","Isolated","Short","118216.80000000","118430.00000000","0.01100000","0.01100000","-2.34520000","2025-07-31 02:18:15.074","2025-07-31 02:45:32.492","Closed"
"BTCUSDT","Isolated","Short","118486.60000000","118227.00000000","0.01100000","0.01100000","2.85560000","2025-07-31 00:48:29.327","2025-07-31 02:17:52.672","Closed"
"BTCUSDT","Isolated","Short","118250.00000000","118486.70000000","0.01100000","0.01100000","-2.60370000","2025-07-31 00:41:50.211","2025-07-31 00:48:28.050","Closed"
"BTCUSDT","Isolated","Short","118044.90000000","118250.10000000","0.01100000","0.01100000","-2.25720000","2025-07-31 00:32:05.990","2025-07-31 00:41:48.765","Closed"
"BTCUSDT","Isolated","Short","117843.20000000","118045.00000000","0.01200000","0.01200000","-2.42160000","2025-07-30 23:49:47.436","2025-07-31 00:32:04.489","Closed"
"BTCUSDT","Isolated","Short","117644.00000000","117843.30000000","0.01200000","0.01200000","-2.39160000","2025-07-30 23:33:11.507","2025-07-30 23:49:46.199","Closed"
"BTCUSDT","Isolated","Short","117428.00000000","117630.00000000","0.01200000","0.01200000","-2.42400000","2025-07-30 22:46:15.305","2025-07-30 23:33:08.626","Closed"
"BTCUSDT","Isolated","Short","117235.90000000","117428.10000000","0.01200000","0.01200000","-2.30640000","2025-07-30 20:07:39.724","2025-07-30 22:46:14.046","Closed"
"BTCUSDT","Isolated","Short","118600.00000000","117236.00000000","0.01100000","0.01100000","15.00400000","2025-07-30 14:53:16.489","2025-07-30 20:07:38.058","Closed"
"BTCUSDT","Isolated","Short","118304.00000000","118626.50000000","0.01200000","0.01200000","-3.87000000","2025-07-30 14:51:13.795","2025-07-30 14:53:14.822","Closed"
"BTCUSDT","Isolated","Short","118072.60000000","118297.00000000","0.01200000","0.01200000","-2.69280000","2025-07-30 14:41:16.154","2025-07-30 14:51:12.196","Closed"
"BTCUSDT","Isolated","Short","117906.20000000","118104.10000000","0.01200000","0.01200000","-2.37480000","2025-07-30 14:21:28.750","2025-07-30 14:41:12.533","Closed"
"BTCUSDT","Isolated","Short","118429.10000000","117912.30000000","0.01200000","0.01200000","6.20160000","2025-07-30 08:52:43.221","2025-07-30 14:21:24.564","Closed"
"BTCUSDT","Isolated","Short","118207.90000000","118432.40000000","0.01200000","0.01200000","-2.69400000","2025-07-30 03:53:17.160","2025-07-30 08:52:42.026","Closed"
"BTCUSDT","Isolated","Short","117996.90000000","118208.00000000","0.01200000","0.01200000","-2.53320000","2025-07-30 02:13:16.495","2025-07-30 03:53:13.073","Closed"
"BTCUSDT","Isolated","Short","117797.90000000","117997.00000000","0.01200000","0.01200000","-2.38920000","2025-07-29 22:52:01.530","2025-07-30 02:13:14.860","Closed"
"BTCUSDT","Isolated","Short","117591.20000000","117798.00000000","0.01200000","0.01200000","-2.48160000","2025-07-29 20:19:27.121","2025-07-29 22:51:57.124","Closed"
"BTCUSDT","Isolated","Short","117990.30000000","117570.00000000","0.01200000","0.01200000","5.04360000","2025-07-29 17:30:49.332","2025-07-29 20:19:25.471","Closed"
"BTCUSDT","Isolated","Short","118958.40000000","117989.10000000","0.01200000","0.01200000","11.63160000","2025-07-29 12:27:22.164","2025-07-29 17:30:48.318","Closed"
"BTCUSDT","Isolated","Short","118711.00000000","118958.50000000","0.01200000","0.01200000","-2.97000000","2025-07-29 12:24:09.626","2025-07-29 12:27:20.419","Closed"
"BTCUSDT","Isolated","Short","119247.90000000","118714.30000000","0.01200000","0.01200000","6.40320000","2025-07-29 07:46:55.138","2025-07-29 12:24:06.797","Closed"
"BTCUSDT","Isolated","Short","118925.40000000","119248.00000000","0.01200000","0.01200000","-3.87120000","2025-07-29 06:35:49.695","2025-07-29 07:46:54.198","Closed"
"BTCUSDT","Isolated","Short","118921.70000000","118945.40000000","0.01200000","0.01200000","-0.28440000","2025-07-29 06:31:56.194","2025-07-29 06:34:39.176","Closed"
"BTCUSDT","Isolated","Short","118888.60000000","118883.70000000","0.01200000","0.01200000","0.05880000","2025-07-29 06:30:09.730","2025-07-29 06:30:22.257","Closed"
"BTCUSDT","Isolated","Short","117929.90000000","118168.60000000","0.01200000","0.01200000","-2.86440000","2025-07-29 00:57:07.889","2025-07-29 03:01:00.383","Closed"
"BTCUSDT","Isolated","Short","118374.00000000","117930.00000000","0.01200000","0.01200000","5.32800000","2025-07-29 00:16:51.501","2025-07-29 00:57:06.556","Closed"
"BTCUSDT","Isolated","Short","118792.40000000","118374.10000000","0.01200000","0.01200000","5.01960000","2025-07-27 16:01:10.334","2025-07-29 00:16:50.590","Closed"
